title|location|use|category
AV42|Please place in AV70, AV57 box in the master room|This item is used for charging electronic devices|Tool used by Mumma and Dada
AV43|Please place in AV25 box in the kitchen|This item is used for charging electronic devices|Tool used by Athira
AV44|Please place in AV25 box in the kitchen|This item is used for repairing pipe|Tool used by Mumma and Dada
AV45|Please place in AV25 box in the kitchen|This item is used for repairing pipe|Tool used by Mumma and Dada
AV46|Please place in AV45 drawer in the garage|This item is used for testing batteries|Tool used by guests
AV47|Please place in AV38 rack in the store room|This item is used for organizing tools|Tool used by Vipin
AV48|Please place in AV25 box in the kitchen|This item is used for monitoring air quality|Tool used by guests
AV49|Please place in AV15, AV16 section in the kids' room|This item is used for cleaning surfaces|Tool used by whole family
AV50|Please place in AV38 rack in the store room|This item is used for storing documents|Tool used by Dada
AV51|Please place in AV12, AV19 box in the living room|This item is used for organizing tools|Tool used by Vipin
AV52|Please place in AV17, AV23 box in the bedroom|This item is used for charging electronic devices|Tool used in emergencies
AV53|Please place in AV50 locker in the office|This item is used for creating mathematical objects|Tool used by guests
AV54|Please place in AV50 locker in the office|This item is used for cleaning surfaces|Tool used by Dada
AV55|Please place in AV17, AV23 box in the bedroom|This item is used for organizing tools|Tool used by Mumma and Dada
AV56|Please place in AV17, AV23 box in the bedroom|This item is used for organizing tools|Tool used by Athira
AV57|Please place in AV20, AV22 box near entrance|This item is used for cleaning surfaces|Tool used by whole family
AV58|Please place in AV17, AV23 box in the bedroom|This item is used for repairing pipe|Tool used by Vipin
AV59|Please place in AV45 drawer in the garage|This item is used for cooking vegetables|Tool used by kids
AV60|Please place in AV15, AV16 section in the kids' room|This item is used for testing batteries|Tool used by Vipin
AV61|Please place in AV31, AV33 shelf in the study|This item is used for repairing pipe|Tool used by Mumma
AV62|Please place in AV15, AV16 section in the kids' room|This item is used for monitoring air quality|Tool used by Mumma and Dada
AV63|Please place in AV38 rack in the store room|This item is used for storing documents|Tool used by Vipin
AV64|Please place in AV50 locker in the office|This item is used for cooking vegetables|Tool used by whole family
AV65|Please place in AV45 drawer in the garage|This item is used for creating mathematical objects|Tool used by Athira
AV66|Please place in AV38 rack in the store room|This item is used for monitoring air quality|Tool used by Athira
AV67|Please place in AV25 box in the kitchen|This item is used for storing documents|Tool used by Athira
AV68|Please place in AV15, AV16 section in the kids' room|This item is used for charging electronic devices|Tool used by whole family
AV69|Please place in AV45 drawer in the garage|This item is used for creating mathematical objects|Tool used by Dada
AV70|Please place in AV70, AV57 box in the master room|This item is used for repairing pipe|Tool used by Dada
AV71|Please place in AV50 locker in the office|This item is used for measuring water quality|Tool used in emergencies
AV72|Please place in AV38 rack in the store room|This item is used for charging electronic devices|Shared tool
AV73|Please place in AV31, AV33 shelf in the study|This item is used for organizing tools|Tool used by guests
AV74|Please place in AV17, AV23 box in the bedroom|This item is used for monitoring air quality|Tool used in emergencies
AV75|Please place in AV25 box in the kitchen|This item is used for testing batteries|Tool used by whole family
AV76|Please place in AV17, AV23 box in the bedroom|This item is used for storing documents|Tool used by Vipin
AV77|Please place in AV50 locker in the office|This item is used for testing batteries|Tool used by guests
AV78|Please place in AV12, AV19 box in the living room|This item is used for organizing tools|Tool used by Mumma
AV79|Please place in AV45 drawer in the garage|This item is used for organizing tools|Tool used in emergencies
AV80|Please place in AV50 locker in the office|This item is used for organizing tools|Tool used by kids
AV81|Please place in AV38 rack in the store room|This item is used for creating mathematical objects|Tool used by Vipin
AV82|Please place in AV15, AV16 section in the kids' room|This item is used for testing batteries|Tool used by Mumma and Dada
AV83|Please place in AV17, AV23 box in the bedroom|This item is used for charging electronic devices|Tool used by Vipin
AV84|Please place in AV70, AV57 box in the master room|This item is used for monitoring air quality|Tool used by Mumma and Dada
AV85|Please place in AV15, AV16 section in the kids' room|This item is used for repairing pipe|Tool used by Dada
AV86|Please place in AV20, AV22 box near entrance|This item is used for monitoring air quality|Tool used by whole family
AV87|Please place in AV20, AV22 box near entrance|This item is used for organizing tools|Tool used by guests
AV88|Please place in AV45 drawer in the garage|This item is used for measuring water quality|Tool used by Athira
AV89|Please place in AV17, AV23 box in the bedroom|This item is used for repairing pipe|Tool used in emergencies
AV90|Please place in AV20, AV22 box near entrance|This item is used for charging electronic devices|Tool used by Vipin
AV91|Please place in AV70, AV57 box in the master room|This item is used for cleaning surfaces|Tool used by Dada
AV92|Please place in AV70, AV57 box in the master room|This item is used for creating mathematical objects|Tool used in emergencies
AV93|Please place in AV50 locker in the office|This item is used for testing batteries|Tool used by Vipin
AV94|Please place in AV17, AV23 box in the bedroom|This item is used for monitoring air quality|Tool used by kids
AV95|Please place in AV17, AV23 box in the bedroom|This item is used for cooking vegetables|Tool used by whole family
AV96|Please place in AV12, AV19 box in the living room|This item is used for cooking vegetables|Tool used by guests
AV97|Please place in AV38 rack in the store room|This item is used for storing documents|Tool used in emergencies
AV98|Please place in AV20, AV22 box near entrance|This item is used for cooking vegetables|Tool used by whole family
AV99|Please place in AV15, AV16 section in the kids' room|This item is used for storing documents|Tool used in emergencies
AV100|Please place in AV31, AV33 shelf in the study|This item is used for measuring water quality|Tool used by Vipin
AV101|Please place in AV70, AV57 box in the master room|This item is used for repairing pipe|Tool used by Vipin
AV102|Please place in AV20, AV22 box near entrance|This item is used for charging electronic devices|Tool used by guests
AV103|Please place in AV50 locker in the office|This item is used for cooking vegetables|Tool used by whole family
AV104|Please place in AV45 drawer in the garage|This item is used for storing documents|Tool used by Dada
AV105|Please place in AV25 box in the kitchen|This item is used for cooking vegetables|Tool used by Athira
AV106|Please place in AV38 rack in the store room|This item is used for testing batteries|Tool used in emergencies
AV107|Please place in AV31, AV33 shelf in the study|This item is used for cleaning surfaces|Tool used by Athira
AV108|Please place in AV50 locker in the office|This item is used for measuring water quality|Tool used by Mumma and Dada
AV109|Please place in AV15, AV16 section in the kids' room|This item is used for cleaning surfaces|Tool used by guests
AV110|Please place in AV25 box in the kitchen|This item is used for cooking vegetables|Tool used by Dada
AV111|Please place in AV20, AV22 box near entrance|This item is used for charging electronic devices|Tool used by Mumma
AV112|Please place in AV15, AV16 section in the kids' room|This item is used for organizing tools|Tool used by Mumma and Dada
AV113|Please place in AV20, AV22 box near entrance|This item is used for cooking vegetables|Tool used by Vipin
AV114|Please place in AV38 rack in the store room|This item is used for cleaning surfaces|Tool used by Dada
AV115|Please place in AV38 rack in the store room|This item is used for testing batteries|Tool used by Athira
AV116|Please place in AV17, AV23 box in the bedroom|This item is used for cleaning surfaces|Tool used by whole family
AV117|Please place in AV12, AV19 box in the living room|This item is used for charging electronic devices|Tool used by Vipin
AV118|Please place in AV17, AV23 box in the bedroom|This item is used for repairing pipe|Tool used by whole family
AV119|Please place in AV38 rack in the store room|This item is used for measuring water quality|Tool used by Dada
AV120|Please place in AV15, AV16 section in the kids' room|This item is used for creating mathematical objects|Tool used by Dada
AV121|Please place in AV70, AV57 box in the master room|This item is used for testing batteries|Tool used by Vipin
AV122|Please place in AV70, AV57 box in the master room|This item is used for cooking vegetables|Tool used by whole family
AV123|Please place in AV38 rack in the store room|This item is used for storing documents|Tool used by guests
AV124|Please place in AV20, AV22 box near entrance|This item is used for cooking vegetables|Tool used by Mumma
AV125|Please place in AV45 drawer in the garage|This item is used for repairing pipe|Tool used by Athira
AV126|Please place in AV20, AV22 box near entrance|This item is used for organizing tools|Tool used by whole family
AV127|Please place in AV15, AV16 section in the kids' room|This item is used for cleaning surfaces|Tool used in emergencies
AV128|Please place in AV12, AV19 box in the living room|This item is used for creating mathematical objects|Tool used in emergencies
AV129|Please place in AV38 rack in the store room|This item is used for monitoring air quality|Tool used by Vipin
AV130|Please place in AV17, AV23 box in the bedroom|This item is used for measuring water quality|Tool used by kids
AV131|Please place in AV12, AV19 box in the living room|This item is used for testing batteries|Tool used by Athira
AV132|Please place in AV25 box in the kitchen|This item is used for creating mathematical objects|Tool used in emergencies
AV133|Please place in AV50 locker in the office|This item is used for creating mathematical objects|Tool used by Mumma and Dada
AV134|Please place in AV17, AV23 box in the bedroom|This item is used for cooking vegetables|Tool used by guests
AV135|Please place in AV17, AV23 box in the bedroom|This item is used for cooking vegetables|Tool used by whole family
AV136|Please place in AV70, AV57 box in the master room|This item is used for cooking vegetables|Tool used by kids
AV137|Please place in AV50 locker in the office|This item is used for creating mathematical objects|Tool used by guests
AV138|Please place in AV17, AV23 box in the bedroom|This item is used for repairing pipe|Tool used by Dada
AV139|Please place in AV45 drawer in the garage|This item is used for repairing pipe|Tool used by kids
AV140|Please place in AV50 locker in the office|This item is used for storing documents|Tool used by whole family
AV141|Please place in AV38 rack in the store room|This item is used for organizing tools|Tool used in emergencies
AV142|Please place in AV38 rack in the store room|This item is used for charging electronic devices|Tool used by Mumma and Dada
AV143|Please place in AV38 rack in the store room|This item is used for charging electronic devices|Tool used in emergencies
AV144|Please place in AV45 drawer in the garage|This item is used for storing documents|Tool used by Mumma
AV145|Please place in AV38 rack in the store room|This item is used for testing batteries|Tool used by Athira
AV146|Please place in AV38 rack in the store room|This item is used for measuring water quality|Tool used by kids
AV147|Please place in AV38 rack in the store room|This item is used for organizing tools|Tool used by Vipin
AV148|Please place in AV15, AV16 section in the kids' room|This item is used for cooking vegetables|Tool used by Mumma and Dada
AV149|Please place in AV17, AV23 box in the bedroom|This item is used for cleaning surfaces|Tool used by whole family
AV150|Please place in AV15, AV16 section in the kids' room|This item is used for measuring water quality|Tool used in emergencies
AV151|Please place in AV17, AV23 box in the bedroom|This item is used for cooking vegetables|Tool used by Vipin
AV152|Please place in AV20, AV22 box near entrance|This item is used for cleaning surfaces|Tool used by Mumma
AV153|Please place in AV15, AV16 section in the kids' room|This item is used for measuring water quality|Shared tool
AV154|Please place in AV70, AV57 box in the master room|This item is used for repairing pipe|Shared tool
AV155|Please place in AV70, AV57 box in the master room|This item is used for monitoring air quality|Tool used by kids
AV156|Please place in AV20, AV22 box near entrance|This item is used for storing documents|Tool used by Mumma and Dada
AV157|Please place in AV12, AV19 box in the living room|This item is used for charging electronic devices|Tool used by guests
AV158|Please place in AV50 locker in the office|This item is used for measuring water quality|Tool used by Dada
AV159|Please place in AV15, AV16 section in the kids' room|This item is used for cleaning surfaces|Tool used by Mumma
AV160|Please place in AV70, AV57 box in the master room|This item is used for cooking vegetables|Tool used by Athira
AV161|Please place in AV25 box in the kitchen|This item is used for organizing tools|Tool used by guests
AV162|Please place in AV12, AV19 box in the living room|This item is used for cooking vegetables|Tool used by Mumma
AV163|Please place in AV31, AV33 shelf in the study|This item is used for testing batteries|Tool used by Dada
AV164|Please place in AV17, AV23 box in the bedroom|This item is used for cooking vegetables|Tool used by whole family
AV165|Please place in AV31, AV33 shelf in the study|This item is used for cooking vegetables|Tool used by whole family
AV166|Please place in AV20, AV22 box near entrance|This item is used for testing batteries|Tool used by Mumma and Dada
AV167|Please place in AV45 drawer in the garage|This item is used for charging electronic devices|Tool used by Vipin
AV168|Please place in AV15, AV16 section in the kids' room|This item is used for testing batteries|Tool used by whole family
AV169|Please place in AV15, AV16 section in the kids' room|This item is used for repairing pipe|Tool used by whole family
AV170|Please place in AV70, AV57 box in the master room|This item is used for charging electronic devices|Shared tool
AV171|Please place in AV45 drawer in the garage|This item is used for testing batteries|Tool used by guests
AV172|Please place in AV20, AV22 box near entrance|This item is used for cleaning surfaces|Tool used by Mumma
AV173|Please place in AV50 locker in the office|This item is used for cleaning surfaces|Shared tool
AV174|Please place in AV38 rack in the store room|This item is used for monitoring air quality|Tool used by Dada
AV175|Please place in AV15, AV16 section in the kids' room|This item is used for cleaning surfaces|Tool used in emergencies
AV176|Please place in AV31, AV33 shelf in the study|This item is used for organizing tools|Tool used by Vipin
AV177|Please place in AV20, AV22 box near entrance|This item is used for repairing pipe|Tool used by whole family
AV178|Please place in AV25 box in the kitchen|This item is used for creating mathematical objects|Shared tool
AV179|Please place in AV70, AV57 box in the master room|This item is used for repairing pipe|Tool used by Mumma and Dada
AV180|Please place in AV15, AV16 section in the kids' room|This item is used for measuring water quality|Tool used by kids
AV181|Please place in AV17, AV23 box in the bedroom|This item is used for testing batteries|Tool used in emergencies
AV182|Please place in AV20, AV22 box near entrance|This item is used for testing batteries|Tool used by guests
AV183|Please place in AV17, AV23 box in the bedroom|This item is used for monitoring air quality|Tool used by Vipin
AV184|Please place in AV20, AV22 box near entrance|This item is used for organizing tools|Tool used by Athira
AV185|Please place in AV45 drawer in the garage|This item is used for measuring water quality|Shared tool
AV186|Please place in AV12, AV19 box in the living room|This item is used for monitoring air quality|Tool used by kids
AV187|Please place in AV25 box in the kitchen|This item is used for monitoring air quality|Tool used by Mumma and Dada
AV188|Please place in AV38 rack in the store room|This item is used for storing documents|Tool used by Dada
AV189|Please place in AV38 rack in the store room|This item is used for creating mathematical objects|Tool used in emergencies
AV190|Please place in AV20, AV22 box near entrance|This item is used for charging electronic devices|Tool used by guests
AV191|Please place in AV20, AV22 box near entrance|This item is used for creating mathematical objects|Tool used by Mumma and Dada
AV192|Please place in AV45 drawer in the garage|This item is used for measuring water quality|Tool used by whole family
AV193|Please place in AV31, AV33 shelf in the study|This item is used for testing batteries|Tool used by kids
AV194|Please place in AV17, AV23 box in the bedroom|This item is used for measuring water quality|Tool used by Mumma
AV195|Please place in AV50 locker in the office|This item is used for cooking vegetables|Tool used by Vipin
AV196|Please place in AV17, AV23 box in the bedroom|This item is used for storing documents|Tool used by Mumma and Dada
AV197|Please place in AV50 locker in the office|This item is used for storing documents|Tool used by Athira
AV198|Please place in AV25 box in the kitchen|This item is used for repairing pipe|Tool used by Mumma and Dada
AV199|Please place in AV45 drawer in the garage|This item is used for repairing pipe|Tool used by kids
AV200|Please place in AV31, AV33 shelf in the study|This item is used for charging electronic devices|Shared tool
AV201|Please place in AV70, AV57 box in the master room|This item is used for testing batteries|Tool used by Vipin
AV202|Please place in AV70, AV57 box in the master room|This item is used for measuring water quality|Tool used by whole family
AV203|Please place in AV38 rack in the store room|This item is used for storing documents|Tool used in emergencies
AV204|Please place in AV20, AV22 box near entrance|This item is used for monitoring air quality|Tool used by Dada
AV205|Please place in AV70, AV57 box in the master room|This item is used for monitoring air quality|Tool used by guests
AV206|Please place in AV45 drawer in the garage|This item is used for measuring water quality|Shared tool
AV207|Please place in AV20, AV22 box near entrance|This item is used for monitoring air quality|Tool used by Vipin
AV208|Please place in AV45 drawer in the garage|This item is used for storing documents|Tool used by kids
AV209|Please place in AV17, AV23 box in the bedroom|This item is used for measuring water quality|Tool used by Dada
AV210|Please place in AV38 rack in the store room|This item is used for monitoring air quality|Tool used by Mumma and Dada
AV211|Please place in AV15, AV16 section in the kids' room|This item is used for cooking vegetables|Tool used by Dada
AV212|Please place in AV45 drawer in the garage|This item is used for cooking vegetables|Shared tool
AV213|Please place in AV20, AV22 box near entrance|This item is used for charging electronic devices|Shared tool
AV214|Please place in AV20, AV22 box near entrance|This item is used for measuring water quality|Tool used by whole family
AV215|Please place in AV38 rack in the store room|This item is used for cooking vegetables|Tool used by Mumma and Dada
AV216|Please place in AV25 box in the kitchen|This item is used for testing batteries|Tool used in emergencies
AV217|Please place in AV70, AV57 box in the master room|This item is used for repairing pipe|Tool used by whole family
AV218|Please place in AV70, AV57 box in the master room|This item is used for organizing tools|Tool used in emergencies
AV219|Please place in AV12, AV19 box in the living room|This item is used for cleaning surfaces|Tool used by whole family
AV220|Please place in AV20, AV22 box near entrance|This item is used for organizing tools|Shared tool
AV221|Please place in AV12, AV19 box in the living room|This item is used for charging electronic devices|Tool used in emergencies
AV222|Please place in AV70, AV57 box in the master room|This item is used for charging electronic devices|Tool used by Athira
AV223|Please place in AV31, AV33 shelf in the study|This item is used for monitoring air quality|Tool used by Vipin
AV224|Please place in AV15, AV16 section in the kids' room|This item is used for organizing tools|Tool used by Athira
AV225|Please place in AV17, AV23 box in the bedroom|This item is used for storing documents|Shared tool
AV226|Please place in AV50 locker in the office|This item is used for monitoring air quality|Tool used by Athira
AV227|Please place in AV50 locker in the office|This item is used for monitoring air quality|Tool used by guests
AV228|Please place in AV17, AV23 box in the bedroom|This item is used for storing documents|Tool used by Athira
AV229|Please place in AV25 box in the kitchen|This item is used for repairing pipe|Tool used by whole family
AV230|Please place in AV45 drawer in the garage|This item is used for testing batteries|Tool used by guests
AV231|Please place in AV31, AV33 shelf in the study|This item is used for measuring water quality|Shared tool
AV232|Please place in AV38 rack in the store room|This item is used for cleaning surfaces|Tool used in emergencies
AV233|Please place in AV20, AV22 box near entrance|This item is used for cleaning surfaces|Tool used by Dada
AV234|Please place in AV50 locker in the office|This item is used for charging electronic devices|Tool used by Vipin
AV235|Please place in AV20, AV22 box near entrance|This item is used for organizing tools|Tool used by Vipin
AV236|Please place in AV45 drawer in the garage|This item is used for charging electronic devices|Tool used by Athira
AV237|Please place in AV31, AV33 shelf in the study|This item is used for organizing tools|Tool used by Dada
AV238|Please place in AV25 box in the kitchen|This item is used for creating mathematical objects|Tool used by kids
AV239|Please place in AV38 rack in the store room|This item is used for organizing tools|Tool used by kids
AV240|Please place in AV17, AV23 box in the bedroom|This item is used for organizing tools|Shared tool
AV241|Please place in AV20, AV22 box near entrance|This item is used for creating mathematical objects|Tool used by Vipin
AV242|Please place in AV20, AV22 box near entrance|This item is used for measuring water quality|Tool used by whole family
AV243|Please place in AV70, AV57 box in the master room|This item is used for organizing tools|Tool used by Athira
AV244|Please place in AV25 box in the kitchen|This item is used for cleaning surfaces|Tool used by kids
AV245|Please place in AV31, AV33 shelf in the study|This item is used for cleaning surfaces|Tool used by whole family
AV246|Please place in AV70, AV57 box in the master room|This item is used for cooking vegetables|Tool used by Athira
AV247|Please place in AV31, AV33 shelf in the study|This item is used for testing batteries|Tool used by Vipin
AV248|Please place in AV45 drawer in the garage|This item is used for creating mathematical objects|Tool used in emergencies
AV249|Please place in AV17, AV23 box in the bedroom|This item is used for charging electronic devices|Tool used by Vipin
AV250|Please place in AV17, AV23 box in the bedroom|This item is used for cleaning surfaces|Tool used by Vipin
AV251|Please place in AV70, AV57 box in the master room|This item is used for monitoring air quality|Tool used by Dada
AV252|Please place in AV25 box in the kitchen|This item is used for creating mathematical objects|Tool used by kids
AV253|Please place in AV15, AV16 section in the kids' room|This item is used for measuring water quality|Tool used by whole family
AV254|Please place in AV31, AV33 shelf in the study|This item is used for measuring water quality|Tool used by kids
AV255|Please place in AV15, AV16 section in the kids' room|This item is used for creating mathematical objects|Tool used by kids
AV256|Please place in AV25 box in the kitchen|This item is used for cleaning surfaces|Tool used by Mumma and Dada
AV257|Please place in AV25 box in the kitchen|This item is used for cooking vegetables|Tool used by Mumma and Dada
AV258|Please place in AV45 drawer in the garage|This item is used for creating mathematical objects|Tool used by Athira
AV259|Please place in AV17, AV23 box in the bedroom|This item is used for repairing pipe|Tool used by Mumma and Dada
AV260|Please place in AV50 locker in the office|This item is used for storing documents|Tool used by Mumma and Dada
AV261|Please place in AV50 locker in the office|This item is used for cleaning surfaces|Shared tool
AV262|Please place in AV20, AV22 box near entrance|This item is used for measuring water quality|Tool used by Athira
AV263|Please place in AV31, AV33 shelf in the study|This item is used for measuring water quality|Tool used by whole family
AV264|Please place in AV31, AV33 shelf in the study|This item is used for creating mathematical objects|Shared tool
AV265|Please place in AV45 drawer in the garage|This item is used for cooking vegetables|Tool used by Athira
AV266|Please place in AV31, AV33 shelf in the study|This item is used for storing documents|Tool used by kids
AV267|Please place in AV70, AV57 box in the master room|This item is used for cooking vegetables|Tool used in emergencies
AV268|Please place in AV38 rack in the store room|This item is used for cleaning surfaces|Tool used by Athira
AV269|Please place in AV38 rack in the store room|This item is used for cleaning surfaces|Tool used by Athira
AV270|Please place in AV20, AV22 box near entrance|This item is used for cooking vegetables|Tool used by guests
AV271|Please place in AV12, AV19 box in the living room|This item is used for charging electronic devices|Tool used by whole family
AV272|Please place in AV15, AV16 section in the kids' room|This item is used for cleaning surfaces|Tool used by Mumma and Dada
AV273|Please place in AV45 drawer in the garage|This item is used for monitoring air quality|Tool used by guests
AV274|Please place in AV20, AV22 box near entrance|This item is used for storing documents|Tool used by Vipin
AV275|Please place in AV45 drawer in the garage|This item is used for cooking vegetables|Tool used by kids
AV276|Please place in AV70, AV57 box in the master room|This item is used for testing batteries|Tool used in emergencies
AV277|Please place in AV17, AV23 box in the bedroom|This item is used for cooking vegetables|Tool used by Mumma and Dada
AV278|Please place in AV38 rack in the store room|This item is used for charging electronic devices|Tool used by Vipin
AV279|Please place in AV38 rack in the store room|This item is used for testing batteries|Tool used in emergencies
AV280|Please place in AV15, AV16 section in the kids' room|This item is used for creating mathematical objects|Tool used by kids
AV281|Please place in AV38 rack in the store room|This item is used for creating mathematical objects|Tool used in emergencies
AV282|Please place in AV31, AV33 shelf in the study|This item is used for repairing pipe|Shared tool
AV283|Please place in AV70, AV57 box in the master room|This item is used for creating mathematical objects|Tool used by kids
AV284|Please place in AV15, AV16 section in the kids' room|This item is used for creating mathematical objects|Tool used in emergencies
AV285|Please place in AV31, AV33 shelf in the study|This item is used for cleaning surfaces|Shared tool
AV286|Please place in AV20, AV22 box near entrance|This item is used for creating mathematical objects|Tool used by guests
AV287|Please place in AV31, AV33 shelf in the study|This item is used for measuring water quality|Tool used by Mumma
AV288|Please place in AV31, AV33 shelf in the study|This item is used for measuring water quality|Tool used by Dada
AV289|Please place in AV38 rack in the store room|This item is used for cleaning surfaces|Tool used by Athira
AV290|Please place in AV25 box in the kitchen|This item is used for cleaning surfaces|Tool used by Dada
AV291|Please place in AV38 rack in the store room|This item is used for organizing tools|Shared tool
AV292|Please place in AV31, AV33 shelf in the study|This item is used for organizing tools|Tool used by kids
AV293|Please place in AV45 drawer in the garage|This item is used for creating mathematical objects|Tool used by Mumma
AV294|Please place in AV12, AV19 box in the living room|This item is used for monitoring air quality|Tool used by guests
AV295|Please place in AV70, AV57 box in the master room|This item is used for testing batteries|Tool used by Vipin
AV296|Please place in AV17, AV23 box in the bedroom|This item is used for creating mathematical objects|Tool used by Mumma and Dada
AV297|Please place in AV31, AV33 shelf in the study|This item is used for cleaning surfaces|Tool used by Mumma
AV298|Please place in AV25 box in the kitchen|This item is used for charging electronic devices|Tool used by kids
AV299|Please place in AV45 drawer in the garage|This item is used for cleaning surfaces|Tool used by Mumma
AV300|Please place in AV70, AV57 box in the master room|This item is used for creating mathematical objects|Tool used in emergencies
AV301|Please place in AV12, AV19 box in the living room|This item is used for organizing tools|Tool used by Dada
AV302|Please place in AV38 rack in the store room|This item is used for storing documents|Tool used by Athira
AV303|Please place in AV20, AV22 box near entrance|This item is used for cleaning surfaces|Tool used by Dada
AV304|Please place in AV17, AV23 box in the bedroom|This item is used for cooking vegetables|Tool used by guests
AV305|Please place in AV70, AV57 box in the master room|This item is used for storing documents|Tool used by Mumma and Dada
AV306|Please place in AV20, AV22 box near entrance|This item is used for monitoring air quality|Tool used by kids
AV307|Please place in AV31, AV33 shelf in the study|This item is used for repairing pipe|Tool used by guests
AV308|Please place in AV25 box in the kitchen|This item is used for organizing tools|Shared tool
AV309|Please place in AV12, AV19 box in the living room|This item is used for storing documents|Tool used by guests
AV310|Please place in AV20, AV22 box near entrance|This item is used for cleaning surfaces|Tool used by Athira
AV311|Please place in AV38 rack in the store room|This item is used for cleaning surfaces|Tool used by Athira
AV312|Please place in AV31, AV33 shelf in the study|This item is used for charging electronic devices|Tool used by Athira
AV313|Please place in AV38 rack in the store room|This item is used for creating mathematical objects|Tool used by Mumma and Dada
AV314|Please place in AV70, AV57 box in the master room|This item is used for monitoring air quality|Shared tool
AV315|Please place in AV70, AV57 box in the master room|This item is used for charging electronic devices|Shared tool
AV316|Please place in AV50 locker in the office|This item is used for monitoring air quality|Tool used by whole family
AV317|Please place in AV17, AV23 box in the bedroom|This item is used for creating mathematical objects|Tool used by Athira
AV318|Please place in AV70, AV57 box in the master room|This item is used for organizing tools|Shared tool
AV319|Please place in AV15, AV16 section in the kids' room|This item is used for repairing pipe|Tool used by Dada
AV320|Please place in AV12, AV19 box in the living room|This item is used for cooking vegetables|Tool used by Mumma and Dada
AV321|Please place in AV12, AV19 box in the living room|This item is used for creating mathematical objects|Tool used by Vipin
AV322|Please place in AV45 drawer in the garage|This item is used for storing documents|Shared tool
AV323|Please place in AV45 drawer in the garage|This item is used for measuring water quality|Tool used by kids
